"LON","LAT","VARIABLE","TYPE","NAME","Name_Database","Paper_Database","Code_Proxy","Reference_Proxy","Reference_Proxy_Database"
11,48.5,"historical_proxy","documentary_proxy","Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_APRTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Dobrovolny et al. 2010",NA
10,51,"historical_proxy","documentary_proxy","Central_Europe_(Germany)_temp_index_(GlaserRiemann)_APRTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Glaser and Riemann 2009",NA
19.45,51.77,"natural_proxy","documentary_proxy","Poland_TRecon_AprTRecon","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Klimat Krakowa w XX wieku 2007",NA
7.367,47.1167,"historical_proxy","documentary_proxy","Swiss_precip_index_(Pfister)_APRDOCU_PRECIPITATION","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Pfister 1992",NA
7.367,47.1167,"historical_proxy","documentary_proxy","Swiss_temp_index_(Pfister)_APRTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Pfister 1992",NA
-4.7278,37.5443,"historical_proxy","documentary_proxy","Andalusia_MAM_precip_indexDOCU_PRECIPITATION","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Rodrigo et al. 1999; Rodrigo et al. 2000",NA
11,48.5,"historical_proxy","documentary_proxy","Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_MAYTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Dobrovolny et al. 2010",NA
10,51,"historical_proxy","documentary_proxy","Central_Europe_(Germany)_temp_index_(GlaserRiemann)_MAYTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Glaser and Riemann 2009",NA
11,44,"natural_proxy","documentary_proxy","Northern_Italy_TRecon_MAMTRecon","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Camuffo et al. 2010",NA
19.45,51.77,"natural_proxy","documentary_proxy","Poland_TRecon_MayTRecon","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Klimat Krakowa w XX wieku 2007",NA
7.367,47.1167,"historical_proxy","documentary_proxy","Swiss_precip_index_(Pfister)_MAYDOCU_PRECIPITATION","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Pfister 1992",NA
7.367,47.1167,"historical_proxy","documentary_proxy","Swiss_temp_index_(Pfister)_MAYTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Pfister 1992",NA
14,42.5,"natural_proxy","documentary_proxy","Western_Mediterranean_TRecon_MAMTRecon","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Camuffo et al. 2010",NA
14,47.5,"historical_proxy","documentary_proxy","WesternMediterraneanRainfallAMDOCU_PRECIPITATION","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Camuffo et al. 2010",NA
