Year,Var1_Mean,Var1_Min,Var1_Max,SAOD
1422,0.15,-2.8,2.59,0
1423,-0.06,-2.66,2.18,0
1424,0.32,-2.17,2.95,0
1425,0.21,-2.12,2.77,0
1426,0.18,-2.21,3.12,0
1427,0.21,-2.4,3.34,0
1428,0.01,-2.37,2.46,0
1429,0.12,-2.29,3.29,0
1430,0.05,-2.53,2.8,0
1431,0.19,-2.61,2.69,0
1432,0.05,-2.33,2.79,0
1433,0.18,-2.26,2.69,0
1434,0.42,-1.94,3.97,0
1435,0.14,-2.39,3,0
1436,-0.03,-2.27,2.61,0
1437,0.04,-2.48,2.2,0
1438,-0.12,-2.87,1.94,0
1439,-0.03,-2.84,1.82,0
1440,0.08,-2.92,2.41,0
1441,0.16,-2.28,3.07,0.01
1442,0.12,-2.27,2.74,0.01
1443,-0.09,-2.89,1.87,0.01
1444,-0.01,-2.7,2.35,0
1445,0.14,-2.46,2.51,0
1446,-0.01,-2.57,2.53,0
1447,0.02,-3.2,1.78,0
1448,0.03,-2.5,2.22,0.01
1449,-0.02,-2.54,2.77,0.01
1450,-0.04,-2.64,2.46,0
1451,0.12,-2.46,3.32,0
1452,0.08,-2.81,2.3,0
1453,-0.52,-3.79,1.08,0.11
1454,-0.26,-2.9,2.26,0.06
1455,-0.43,-3.02,1.55,0.02
1456,-0.41,-3.3,1.34,0.01
1457,-0.08,-2.88,2.22,0.01
1458,-0.29,-2.46,2.62,0.31
1459,-0.69,-3.47,1.27,0.23
1460,-0.16,-2.43,2.39,0.09
1461,-0.11,-2.74,2.52,0.03
1462,-0.17,-2.6,2.32,0.01
1463,-0.24,-3.03,1.78,0.01
1464,-0.12,-2.78,2.44,0.01
1465,-0.19,-2.66,2.13,0
1466,-0.22,-3,1.89,0
1467,-0.08,-2.53,2.68,0
1468,-0.12,-2.4,2.36,0
1469,-0.11,-2.38,2.84,0
1470,-0.19,-2.36,2.47,0.02
1471,-0.08,-2.76,1.93,0.01
1472,-0.22,-2.65,1.99,0.01
1473,-0.04,-2.66,2.32,0
